"Week","Year","precip.nomiss","ETo_mm.combined","Date","ID","PP_ET","spei"
49,1987,4.5,3.33318170245855,1987-12-03,7490,1.16681829754145,-0.0566596776327847
50,1987,14.8,1.77344014220975,1987-12-10,7539,13.0265598577903,0.795598615815374
51,1987,3.4,0.190647778538695,1987-12-17,7588,3.20935222146131,0.189156945900102
52,1987,9.9,1.81485552762789,1987-12-24,7637,8.08514447237211,0.660425253007692
53,1987,1.7,0.44823659266438,1987-12-31,1095,1.25176340733562,0
1,1988,16.2,2.44773995661403,1988-01-01,7693,13.752260043386,0
2,1988,1.8,0.95179912975018,1988-01-08,7742,0.84820087024982,0.14635134121453
3,1988,14.6,1.0233004824893,1988-01-15,7791,13.5766995175107,0.837414065594747
4,1988,26,0.320061384737698,1988-01-22,7840,25.6799386152623,1.53038414461616
5,1988,17.5,4.28359700602604,1988-01-29,7889,13.216402993974,0.834084715213687
6,1988,30.3,1.28025886984538,1988-02-05,7938,29.0197411301546,1.54286796833907
7,1988,19.1,0.921989657752264,1988-02-12,7987,18.1780103422477,1.11627668926458
8,1988,13.8,5.3957502082162,1988-02-19,8036,8.4042497917838,0.457805669860028
9,1988,10.9,3.51205702562814,1988-02-26,8085,7.38794297437186,0.423705092654038
10,1988,7.4,2.68829818746599,1988-03-04,8134,4.71170181253401,0.31089283255993
11,1988,14.3,3.417263730021,1988-03-11,8183,10.882736269979,0.843825899177954
12,1988,4.2,2.97294093393521,1988-03-18,8232,1.22705906606479,0.106224039209666
13,1988,5.9,2.1524862263111,1988-03-25,8281,3.7475137736889,0.228479932810359
14,1988,4.6,7.74693053740974,1988-04-01,8330,-3.14693053740974,-0.159152440030637
15,1988,4.2,14.8907950315984,1988-04-08,8379,-10.6907950315984,-0.989461137388679
16,1988,2.4,17.2599479952156,1988-04-15,8428,-14.8599479952156,-1.13440270483138
17,1988,0,19.2841836739254,1988-04-22,8477,-19.2841836739254,-1.47844434797092
18,1988,5,15.9744133795694,1988-04-29,8526,-10.9744133795694,-0.862930653530745
19,1988,0.2,20.6173683701472,1988-05-06,8575,-20.4173683701472,-1.75073845941674
20,1988,4.8,18.4634410046582,1988-05-13,8624,-13.6634410046582,-1.28964223071015
21,1988,8.9,24.3498036196797,1988-05-20,8673,-15.4498036196797,-1.34702234703702
22,1988,2.8,15.905690227195,1988-05-27,8722,-13.105690227195,-1.1498818575488
23,1988,3.4,18.3412036078155,1988-06-03,8771,-14.9412036078155,-1.14809391542518
24,1988,0.1,18.5410799127829,1988-06-10,8820,-18.4410799127829,-1.54509133167564
25,1988,5,24.3084960395697,1988-06-17,8869,-19.3084960395697,-1.58589760935284
26,1988,1.4,23.9221079170119,1988-06-24,8918,-22.5221079170119,-1.74432129705272
27,1988,8.6,23.6886349291496,1988-07-01,8967,-15.0886349291496,-1.31487909042075
28,1988,15.9,22.0229557147605,1988-07-08,9016,-6.12295571476045,-0.462873241463973
29,1988,0.1,19.3536705393584,1988-07-15,9065,-19.2536705393584,-1.4763566687609
30,1988,2.5,27.2683642829385,1988-07-22,9114,-24.7683642829385,-1.97851685706021
31,1988,48.7,24.5185708276312,1988-07-29,9163,24.1814291723688,1.45156465563525
32,1988,57.1,23.8869489536482,1988-08-05,9212,33.2130510463518,1.65612203753512
33,1988,26.4,21.3987459272759,1988-08-12,9261,5.00125407272415,0.253346080183742
34,1988,27.2,16.928663019492,1988-08-19,9310,10.271336980508,0.73911694555803
35,1988,17.4,14.5192090201121,1988-08-26,9359,2.88079097988793,0.288804760039257
36,1988,11.8,15.1275155530183,1988-09-02,9408,-3.32751555301833,-0.248910174248922
37,1988,12.3,11.7711596712726,1988-09-09,9457,0.528840328727442,-0.0284392781852176
38,1988,13.5,16.130196598047,1988-09-16,9506,-2.630196598047,-0.118640168358457
39,1988,26.3,12.9625127836799,1988-09-23,9555,13.3374872163201,0.821771489236328
40,1988,3.9,5.83206215137471,1988-09-30,9604,-1.93206215137471,-0.141243905497427
41,1988,26.3,4.96640698249292,1988-10-07,9653,21.3335930175071,1.28758234604918
42,1988,3.5,3.93841259535285,1988-10-14,9702,-0.438412595352855,-0.0453194366488918
43,1988,5.4,11.9621868534275,1988-10-21,9751,-6.56218685342747,-0.711694568238868
44,1988,2,5.6146560417447,1988-10-28,9800,-3.6146560417447,-0.436084786840783
45,1988,2.7,6.51123177263274,1988-11-04,9849,-3.81123177263274,-0.425081129705345
46,1988,3,2.2624948668902,1988-11-11,9898,0.737505133109795,-0.0149612437611412
47,1988,4.2,1.95708661327106,1988-11-18,9947,2.24291338672894,0.240722194300363
48,1988,1.3,4.86861042435973,1988-11-25,9996,-3.56861042435973,-0.26844531920305
49,1988,6.9,0.239191034189912,1988-12-02,10045,6.66080896581009,0.452699529710634
